"","pop","abs","tempo","conc","experiment"
"369","REF",0.189,"96","50","EXP1"
"370","C76",0.189,"96","50","EXP1"
"371","C67",0.185,"96","50","EXP1"
"372","C68",0.178,"96","50","EXP1"
"373","REF",0.151,"96","75","EXP1"
"374","C76",0.189,"96","75","EXP1"
"375","C67",0.172,"96","75","EXP1"
"376","C68",0.153,"96","75","EXP1"
"377","REF",0.158,"96","100","EXP1"
"378","C76",0.144,"96","100","EXP1"
"379","C67",0.152,"96","100","EXP1"
"380","C68",0.161,"96","100","EXP1"
"381","REF",0.137,"96","150","EXP1"
"382","C76",0.178,"96","150","EXP1"
"383","C67",0.139,"96","150","EXP1"
"384","C68",0.14,"96","150","EXP1"
"385","REF",0.435,"96","0","EXP2"
"386","C76",0.442,"96","0","EXP2"
"387","C67",0.389,"96","0","EXP2"
"388","C68",0.35,"96","0","EXP2"
"389","REF",0.462,"96","10","EXP2"
"390","C76",0.356,"96","10","EXP2"
"391","C67",0.316,"96","10","EXP2"
"392","C68",0.388,"96","10","EXP2"
"393","REF",0.441,"96","50","EXP2"
"394","C76",0.292,"96","50","EXP2"
"395","C67",0.323,"96","50","EXP2"
"396","C68",0.303,"96","50","EXP2"
"397","REF",0.343,"96","75","EXP2"
"398","C76",0.254,"96","75","EXP2"
"399","C67",0.258,"96","75","EXP2"
"400","C68",0.274,"96","75","EXP2"
"401","REF",0.27,"96","100","EXP2"
"402","C76",0.208,"96","100","EXP2"
"403","C67",0.198,"96","100","EXP2"
"404","C68",0.276,"96","100","EXP2"
"405","REF",0.245,"96","150","EXP2"
"406","C76",0.186,"96","150","EXP2"
"407","C67",0.177,"96","150","EXP2"
"408","C68",0.172,"96","150","EXP2"
"409","REF",0.446,"96","0","EXP3"
"410","C76",0.453,"96","0","EXP3"
"411","C67",0.396,"96","0","EXP3"
"412","C68",0.438,"96","0","EXP3"
"413","REF",0.378,"96","10","EXP3"
"414","C76",0.253,"96","10","EXP3"
"415","C67",0.256,"96","10","EXP3"
"416","C68",0.277,"96","10","EXP3"
"417","REF",0.255,"96","50","EXP3"
"418","C76",0.256,"96","50","EXP3"
"419","C67",0.254,"96","50","EXP3"
"420","C68",0.256,"96","50","EXP3"
"421","REF",0.249,"96","75","EXP3"
"422","C76",0.258,"96","75","EXP3"
