X,pop,abs,tempo,conc,experiment,abs_norm,n_parasitos,n_base
215,C67,0.171,48,150,EXP3,0.18828571428571428,454097.1168437026,500000
216,C68,0.156,48,150,EXP3,0.17342857142857143,449752.8830313015,500000
217,REF,0.188,0,0,EXP1,0.2267142857142857,414618.7775677379,500000
218,C76,0.168,0,0,EXP1,0.20814285714285713,403568.97735072067,500000
219,C67,0.162,0,0,EXP1,0.163,496932.5153374233,500000
220,C68,0.157,0,0,EXP1,0.16057142857142856,488879.0035587189,500000
221,REF,0.183,0,10,EXP1,0.1907142857142857,479775.28089887643,500000
222,C76,0.194,0,10,EXP1,0.20285714285714285,478169.0140845071,500000
223,C67,0.181,0,10,EXP1,0.17828571428571427,507612.17948717956,500000
224,C68,0.173,0,10,EXP1,0.17842857142857144,484787.83026421134,500000
225,REF,0.178,0,50,EXP1,0.1757142857142857,506504.0650406504,500000
226,C76,0.188,0,50,EXP1,0.18585714285714286,505764.79631053034,500000
227,C67,0.181,0,50,EXP1,0.1814285714285714,498818.8976377953,500000
228,C68,0.168,0,50,EXP1,0.17485714285714285,480392.1568627451,500000
229,REF,0.151,0,75,EXP1,0.15271428571428572,494387.2778297474,500000
230,C76,0.186,0,75,EXP1,0.18371428571428572,506220.8398133748,500000
231,C67,0.164,0,75,EXP1,0.174,471264.367816092,500000
232,C68,0.153,0,75,EXP1,0.16428571428571428,465652.17391304346,500000
233,REF,0.159,0,100,EXP1,0.16128571428571428,492914.0832595217,500000
234,C76,0.146,0,100,EXP1,0.14585714285714285,500489.7159647405,500000
235,C67,0.153,0,100,EXP1,0.16542857142857142,462435.2331606218,500000
236,C68,0.157,0,100,EXP1,0.16914285714285715,464104.7297297297,500000
237,REF,0.139,0,150,EXP1,0.13871428571428573,501029.86611740466,500000
238,C76,0.164,0,150,EXP1,0.15257142857142855,537453.1835205993,500000
239,C67,0.141,0,150,EXP1,0.14014285714285715,503058.10397553514,500000
240,C68,0.142,0,150,EXP1,0.14414285714285713,492566.89791873144,500000
241,REF,0.492,0,0,EXP2,0.3861428571428571,637069.9223085461,500000
242,C76,0.457,0,0,EXP2,0.35614285714285715,641596.4701163257,500000
243,C67,0.465,0,0,EXP2,0.3414285714285714,680962.3430962344,500000
244,C68,0.431,0,0,EXP2,0.335,643283.5820895522,500000
245,REF,0.555,0,10,EXP2,0.4005714285714286,692760.3423680456,500000
246,C76,0.399,0,10,EXP2,0.3007142857142857,663420.4275534442,500000
247,C67,0.416,0,10,EXP2,0.2904285714285714,716182.9808165273,500000
248,C68,0.423,0,10,EXP2,0.31614285714285717,669001.3556258472,500000
249,REF,0.487,0,50,EXP2,0.36057142857142854,675316.9572107766,500000
250,C76,0.382,0,50,EXP2,0.2784285714285714,685992.8168291432,500000
251,C67,0.378,0,50,EXP2,0.2857142857142857,661500,500000
252,C68,0.437,0,50,EXP2,0.2865714285714286,762462.6121635095,500000
253,REF,0.44,0,75,EXP2,0.3142857142857143,700000,500000
254,C76,0.32,0,75,EXP2,0.24457142857142858,654205.6074766355,500000
255,C67,0.303,0,75,EXP2,0.2392857142857143,633134.3283582089,500000
256,C68,0.365,0,75,EXP2,0.2654285714285714,687567.2766415501,500000
257,REF,0.365,0,100,EXP2,0.2695714285714286,677000.5299417065,500000
258,C76,0.276,0,100,EXP2,0.213,647887.323943662,500000
259,C67,0.272,0,100,EXP2,0.21114285714285716,644113.6671177266,500000
260,C68,0.359,0,100,EXP2,0.2672857142857143,671566.0074826296,500000
261,REF,0.303,0,150,EXP2,0.23399999999999999,647435.8974358975,500000
262,C76,0.27,0,150,EXP2,0.19557142857142856,690284.8794740686,500000
263,C67,0.261,0,150,EXP2,0.19357142857142856,674169.741697417,500000
264,C68,0.238,0,150,EXP2,0.20085714285714285,592460.8819345662,500000
265,REF,0.387,0,0,EXP3,0.31871428571428573,607126.8489466606,500000
266,C76,0.342,0,0,EXP3,0.28785714285714287,594044.6650124069,500000
267,C67,0.281,0,0,EXP3,0.2592857142857143,541873.2782369145,500000
268,C68,0.259,0,0,EXP3,0.256,505859.375,500000
269,REF,0.286,0,10,EXP3,0.2601428571428571,549697.9681493685,500000
270,C76,0.222,0,10,EXP3,0.19485714285714287,569648.0938416421,500000
271,C67,0.218,0,10,EXP3,0.1915714285714286,568978.3743475018,500000
272,C68,0.223,0,10,EXP3,0.19914285714285715,559899.5695839311,500000
273,REF,0.221,0,50,EXP3,0.19085714285714286,578967.0658682635,500000
274,C76,0.228,0,50,EXP3,0.197,578680.2030456853,500000
275,C67,0.222,0,50,EXP3,0.194,572164.9484536082,500000
276,C68,0.216,0,50,EXP3,0.18971428571428572,569277.1084337349,500000
277,REF,0.212,0,75,EXP3,0.18528571428571428,572089.4371626831,500000
278,C76,0.221,0,75,EXP3,0.19642857142857142,562545.4545454546,500000
279,C67,0.228,0,75,EXP3,0.19742857142857143,577424.023154848,500000
280,C68,0.216,0,75,EXP3,0.18971428571428572,569277.1084337349,500000
281,REF,0.208,0,100,EXP3,0.18042857142857144,576405.3840063341,500000
282,C76,0.225,0,100,EXP3,0.196,573979.5918367347,500000
283,C67,0.232,0,100,EXP3,0.1997142857142857,580829.756795422,500000
284,C68,0.216,0,100,EXP3,0.18885714285714286,571860.8169440242,500000
285,REF,0.21,0,150,EXP3,0.18485714285714286,568006.1823802164,500000
286,C76,0.209,0,150,EXP3,0.193,541450.7772020726,500000
287,C67,0.196,0,150,EXP3,0.18828571428571428,520485.58421851293,500000
288,C68,0.168,0,150,EXP3,0.17342857142857143,484349.2586490939,500000
289,REF,0.266,96,0,EXP1,0.2267142857142857,586641.4618777568,500000
290,C76,0.201,96,0,EXP1,0.20814285714285713,482841.45504461223,500000
291,C67,0.147,96,0,EXP1,0.163,450920.245398773,500000
292,C68,0.144,96,0,EXP1,0.16057142857142856,448398.57651245553,500000
293,REF,0.18,96,10,EXP1,0.1907142857142857,471910.1123595506,500000
294,C76,0.169,96,10,EXP1,0.20285714285714285,416549.2957746479,500000
295,C67,0.148,96,10,EXP1,0.17828571428571427,415064.1025641026,500000
296,C68,0.153,96,10,EXP1,0.17842857142857144,428742.9943955164,500000
297,REF,0.153,96,50,EXP1,0.1757142857142857,435365.85365853657,500000
298,C76,0.154,96,50,EXP1,0.18585714285714286,414296.6948501153,500000
299,C67,0.147,96,50,EXP1,0.1814285714285714,405118.1102362205,500000
300,C68,0.147,96,50,EXP1,0.17485714285714285,420343.137254902,500000
301,REF,0.149,96,75,EXP1,0.15271428571428572,487839.10196445277,500000
302,C76,0.149,96,75,EXP1,0.18371428571428572,405520.9953343701,500000
303,C67,0.146,96,75,EXP1,0.174,419540.2298850575,500000
304,C68,0.148,96,75,EXP1,0.16428571428571428,450434.7826086957,500000
305,REF,0.15,96,100,EXP1,0.16128571428571428,465013.2860938884,500000
306,C76,0.146,96,100,EXP1,0.14585714285714285,500489.7159647405,500000
307,C67,0.145,96,100,EXP1,0.16542857142857142,438255.61312607944,500000
308,C68,0.147,96,100,EXP1,0.16914285714285715,434543.9189189189,500000
309,REF,0.139,96,150,EXP1,0.13871428571428573,501029.86611740466,500000
310,C76,0.146,96,150,EXP1,0.15257142857142855,478464.4194756555,500000
311,C67,0.14,96,150,EXP1,0.14014285714285715,499490.31600407744,500000
312,C68,0.144,96,150,EXP1,0.14414285714285713,499504.4598612488,500000
313,REF,0.462,96,0,EXP2,0.3861428571428571,598224.1953385128,500000
314,C76,0.449,96,0,EXP2,0.35614285714285715,630365.022061773,500000
315,C67,0.42,96,0,EXP2,0.3414285714285714,615062.7615062762,500000
316,C68,0.4,96,0,EXP2,0.335,597014.9253731343,500000
317,REF,0.475,96,10,EXP2,0.4005714285714286,592902.9957203994,500000
318,C76,0.305,96,10,EXP2,0.3007142857142857,507125.89073634206,500000
319,C67,0.325,96,10,EXP2,0.2904285714285714,559517.953762912,500000
320,C68,0.342,96,10,EXP2,0.31614285714285717,540894.7130591957,500000
321,REF,0.355,96,50,EXP2,0.36057142857142854,492274.16798732174,500000
322,C76,0.315,96,50,EXP2,0.2784285714285714,565674.7049769113,500000
323,C67,0.312,96,50,EXP2,0.2857142857142857,546000,500000
324,C68,0.306,96,50,EXP2,0.2865714285714286,533898.3050847457,500000
325,REF,0.324,96,75,EXP2,0.3142857142857143,515454.54545454547,500000
326,C76,0.268,96,75,EXP2,0.24457142857142858,547897.1962616822,500000
327,C67,0.24,96,75,EXP2,0.2392857142857143,501492.53731343284,500000
328,C68,0.294,96,75,EXP2,0.2654285714285714,553821.3132400431,500000
329,REF,0.309,96,100,EXP2,0.2695714285714286,573131.9554848967,500000
330,C76,0.21,96,100,EXP2,0.213,492957.74647887325,500000
331,C67,0.198,96,100,EXP2,0.21114285714285716,468876.86062246276,500000
332,C68,0.276,96,100,EXP2,0.2672857142857143,516301.4430785676,500000
333,REF,0.251,96,150,EXP2,0.23399999999999999,536324.7863247864,500000
334,C76,0.197,96,150,EXP2,0.19557142857142856,503652.30094959826,500000
335,C67,0.186,96,150,EXP2,0.19357142857142856,480442.8044280443,500000
336,C68,0.2,96,150,EXP2,0.20085714285714285,497866.2873399716,500000
337,REF,0.399,96,0,EXP3,0.31871428571428573,625952.4876736889,500000
338,C76,0.331,96,0,EXP3,0.28785714285714287,574937.9652605458,500000
339,C67,0.297,96,0,EXP3,0.2592857142857143,572727.2727272727,500000
340,C68,0.281,96,0,EXP3,0.256,548828.125,500000
341,REF,0.284,96,10,EXP3,0.2601428571428571,545853.9264140583,500000
342,C76,0.17,96,10,EXP3,0.19485714285714287,436217.00879765395,500000
343,C67,0.17,96,10,EXP3,0.1915714285714286,443698.7322893363,500000
344,C68,0.172,96,10,EXP3,0.19914285714285715,431850.7890961262,500000
345,REF,0.15,96,50,EXP3,0.19085714285714286,392964.0718562874,500000
346,C76,0.152,96,50,EXP3,0.197,385786.80203045683,500000
347,C67,0.171,96,50,EXP3,0.194,440721.6494845361,500000
348,C68,0.162,96,50,EXP3,0.18971428571428572,426957.8313253012,500000
349,REF,0.149,96,75,EXP3,0.18528571428571428,402081.7270624518,500000
350,C76,0.149,96,75,EXP3,0.19642857142857142,379272.7272727273,500000
351,C67,0.172,96,75,EXP3,0.19742857142857143,435600.57887120114,500000
352,C68,0.164,96,75,EXP3,0.18971428571428572,432228.9156626506,500000
353,REF,0.144,96,100,EXP3,0.18042857142857144,399049.88123515435,500000
354,C76,0.165,96,100,EXP3,0.196,420918.36734693876,500000
355,C67,0.178,96,100,EXP3,0.1997142857142857,445636.6237482118,500000
356,C68,0.162,96,100,EXP3,0.18885714285714286,428895.61270801816,500000
357,REF,0.148,96,150,EXP3,0.18485714285714286,400309.1190108192,500000
358,C76,0.17,96,150,EXP3,0.193,440414.5077720207,500000
359,C67,0.169,96,150,EXP3,0.18828571428571428,448786.03945371776,500000
360,C68,0.146,96,150,EXP3,0.17342857142857143,420922.57001647446,500000
361,REF,0.322,120,0,EXP1,0.2267142857142857,710144.9275362319,500000
362,C76,0.296,120,0,EXP1,0.20814285714285713,711050.1029512698,500000
363,C67,0.191,120,0,EXP1,0.163,585889.5705521472,500000
364,C68,0.168,120,0,EXP1,0.16057142857142856,523131.6725978648,500000
365,REF,0.217,120,10,EXP1,0.1907142857142857,568913.8576779027,500000
366,C76,0.209,120,10,EXP1,0.20285714285714285,515140.84507042257,500000
367,C67,0.181,120,10,EXP1,0.17828571428571427,507612.17948717956,500000
368,C68,0.183,120,10,EXP1,0.17842857142857144,512810.2481985588,500000
369,REF,0.189,120,50,EXP1,0.1757142857142857,537804.8780487805,500000
370,C76,0.189,120,50,EXP1,0.18585714285714286,508455.03458877787,500000
371,C67,0.185,120,50,EXP1,0.1814285714285714,509842.5196850394,500000
372,C68,0.178,120,50,EXP1,0.17485714285714285,508986.9281045752,500000
